Sp,Country,Region,Pop,Indiv,Site,Block,Year,MISM,MISM.F1,TotSeeds.F1
Rco,UK,Cw,RcoUKCwC,RcoUKCwC5,West,W3,2019,0.964,0.967,121030
Rco,NZ,W,RcoNZWA,RcoNZWA5,West,W3,2019,1.000,0.916,172528
Rco,UK,Cw,RcoUKCwB,RcoUKCwB7,West,W2,2019,0.913,0.934,91768
Rco,NZ,W,RcoNZWD,RcoNZWD4,West,W3,2019,1.188,1.164,78582
Rco,UK,Cw,RcoUKCwB,RcoUKCwB7,West,W3,2019,0.913,1.034,99151
Rco,UK,E,RcoUKEA,RcoUKEA4,West,W3,2019,1.167,0.968,13372
Rco,NZ,W,RcoNZWA,RcoNZWA5,West,W1,2019,1.000,0.945,125262
Rco,UK,Cw,RcoUKCwC,RcoUKCwC6,West,W2,2019,0.971,0.693,167463
Rco,UK,Cw,RcoUKCwC,RcoUKCwC5,West,W1,2019,0.964,0.908,134827
Rco,UK,Cw,RcoUKCwD,RcoUKCwD2,West,W3,2019,1.160,1.087,179967
Rco,UK,E,RcoUKEB,RcoUKEB5,West,W3,2019,1.318,0.837,9359
Rco,NZ,C,RcoNZCD,RcoNZCD4,West,W3,2019,1.364,1.232,60454
Rco,NZ,S,RcoNZSA,RcoNZSA2,West,W2,2019,0.636,0.970,130247
Rco,UK,Cw,RcoUKCwC,RcoUKCwC2,West,W2,2019,0.667,0.801,235905
Rco,NZ,W,RcoNZWA,RcoNZWA5,West,W2,2019,1.000,0.853,103295
Rco,UK,Cw,RcoUKCwC,RcoUKCwC6,West,W3,2019,0.971,1.193,272010
Rco,NZ,W,RcoNZWD,RcoNZWD4,West,W2,2019,1.188,1.213,84117
Rco,UK,E,RcoUKEB,RcoUKEB5,West,W1,2019,1.318,1.217,13037
Rco,UK,E,RcoUKEB,RcoUKEB3,West,W2,2019,1.214,1.185,50571
Rco,NZ,S,RcoNZSD,RcoNZSD3,West,W2,2019,1.044,1.136,96969
Rco,UK,G,RcoUKGA,RcoUKGA5,West,W3,2019,1.000,0.831,91089
Rco,NZ,C,RcoNZCD,RcoNZCD3,West,W2,2019,1.348,1.251,85084
Rco,NZ,W,RcoNZWC,RcoNZWC4,West,W1,2019,1.258,0.830,170212
Rco,UK,E,RcoUKEB,RcoUKEB1,West,W2,2019,1.636,1.156,20898
Rco,NZ,S,RcoNZSD,RcoNZSD3,West,W3,2019,1.044,1.162,122456
Rco,NZ,S,RcoNZSB,RcoNZSB1,West,W3,2019,0.930,0.931,108168
Rco,NZ,S,RcoNZSD,RcoNZSD2,West,W1,2019,1.421,1.023,94940
